nombre,seguidores,amigos,tweets,localizacion,verificado,idioma,protected
Teresa17006343,0,11,0,,False,es,False
jmtiston,2,21,10,,False,en,False
MAArroyo83,57,149,83,Valencia,False,en,False
greenurbandata,62,85,35,Valencia,False,es,False
Relarking,466,77,362,,False,es,False
Reca003,358,432,3529,Valencia,False,es,False
infusionvlc,19,59,29,Valencia,False,es,False
OLYMPIAVALENCIA,3547,2872,9956,Alboraya,False,es,False
angela_martinlo,135,391,117,,False,es,False
pasq,3064,1347,11596,Valencia,False,en,False
ruralavanza,130,248,759,Castellnovo,False,es,False
GandiaAlbufera,107,942,83,Valencia,False,es,False
geoazul,684,1162,43035,Valencia,False,es,False
CIM_Burkina,130,51,497,Valencia,False,es,False
dmcspaintours,5,38,0,Valencia,False,es,False
isabel_sari,24,140,1,,False,es,False
Miguellafarga,8,80,17,Comunidad de Madrid,False,es,False
vlcnoticias,7736,2063,46128,Valencia,False,es,False
ObdulioRodrguez,19,57,69,,False,es,False
majosmoreno,316,641,2329,Valencia,False,es,False
PaxInstituto,162,593,527,Valencia,False,es,False
comite_economic,140,422,324,Castell\u00f3n,False,es,False
AnaVisier,31,109,181,,False,es,False
PocasPecas_84,266,271,13882,Valencia,False,es,False
Carricoche13,0,18,18,,False,es,False
BernabeBergi,2116,4870,41396,España,False,es,False
vilarricardo1,753,1802,164,Valencia,False,es,False
rakman6909,374,4373,3091,EL INFINITO,False,es,False
purificacionbal,554,1760,691,Cerca,False,es,False
LuciaCa17033496,3,120,0,,False,en,False
colomet_vlc,8,104,46,Albuixech,False,es,False
ximocadiz90,370,166,112,,False,es,False
AkoeEducacio,1113,1292,3315,Catarroja,False,es,False
TheCloud_League,1076,100,608,,False,es,False
PepeTurpin,635,1402,2743,Valencia,False,es,False
vilacalabuig,72,188,355,Valencia,False,en,False
ToxicHector,34,152,41,,False,es,False
estereoradianes,7,67,24,,False,es,False
rubnoel,36,488,1494,Valencia - Barcelona,False,es,False
iTaPoL,223,526,4291,Alzira ,False,es,False
HumansFest,589,327,979,Valencia,False,es,False
Revista_dels_PM,0,55,0,,False,es,False
cucalafrasca,6,206,12,,False,en,False
taxiscontraley,76,274,296,,False,es,False
lafigueras,262,2990,330,villa lugano ,False,es,False
Lucas47900763,0,19,6,,False,en,False
FriendshipSpain,31,661,2,,False,en,False
Hernanden1411,106,351,1628,,False,es,False
PepeCPlatas,31,112,315,Valencia,False,es,False
YoTaxiLaRevista,1166,2305,1646,Galicia,False,es,False
IsaRuiz16,74,337,885,\u2728,False,es,False
f_elsjovenils,525,514,601,Valencia,False,es,False
GoverndelaGent,2049,1018,6099,Palma,False,es,False
VictorMatoses,36,133,26,,False,es,False
aranvaro,81,158,158,Valencia,False,es,False
paulaclemades,5,20,3,,False,es,False
_LuciaParamo,133,310,188,,False,es,False
martini_78,1,13,0,Burjassot,False,es,False
cbotia80,70,111,5060,España,False,es,False
juanma_dolz,441,873,5195,Valencia,False,es,False
aylaka2001,340,812,7035,Valencia,False,es,False
teresaa63,1,109,71,,False,en,False
juanasp69,916,2840,1122,,False,es,False
alex1981982,276,1062,7064,Valencia,False,es,False
barenum,72,273,23,Paris,False,fr,False
RefugiVLC,8,91,0,,False,es,False
Isabelvilchesag,6,38,26,Valencia,False,es,False
elisapallaresm,20,75,8,,False,es,False
clf3000,104,756,218,valencia  y  javea    (espa\u00f1a),False,es,False
vicentdtorrent,14,109,372,,False,es,False
VicenteMunyoz,453,1387,639,España,False,es,False
Noeliamarsar,355,698,1631,Madrid,False,es,False
DecidimExterior,223,441,803,London,False,ca,False
35fc3d8a7be2430,1,9,1,,False,es,False
Totte_bored,6,178,50,,False,es,False
MariaFustertv,1577,390,783,,False,es,False
arturonavarrolc,93,90,72,,False,es,False
maria_castmo,13,136,122,,False,es,False
pulido_blasco,191,2813,1,,False,es,False
david_ciencias,3,37,387,,False,es,False
quelinmon,300,720,427,España,False,es,False
MarcAyala_,2348,4246,20324,Valls | Camp de Tarragona,False,ca,False
josemanuel_conv,50,253,41,Valencia,False,es,False
KuzinaVLC,69,255,240,Calle Conde de Almod\u00f3var,False,en,False
jvsm76,185,600,1990,Valenci\u00e0,False,ca,False
jvzorrilla,83,284,337,,False,es,False
belenzilla2,320,228,7007,,False,es,False
Sertxix,74,870,144,Valencia,False,es,False
Larati11,3,35,0,,False,es,False
eyecatt,280,566,5264,,False,es,False
josevtecervera,105,241,870,España,False,es,False
argenis201800,101,5000,1,,False,es,False
Wikimaquev,457,771,12012,Val\u00e8ncia / Alc\u00e0sser,False,es,False
ZaidaGreGar,42,248,102,,False,es,False
jxcampos,64,468,174,ontinyent (pa\u00eds Valencia),False,ca,False
anacanoarribas,428,451,3070,Valencia,False,es,False
IoSonnoJessyT,28,161,19,Roma,False,es,False
jordilloret12,165,471,71,London,False,es,False
enrique_gt85,172,980,1042,,False,es,False
sarmito_,277,275,1868,,False,es,False
SofiaLacruz,130,392,67,,False,ca,False
Climalem,1228,509,1370,Comunidad Valenciana,False,es,False
Locorsil,141,510,1637,Valencia,False,es,False
Tarongina_,17,144,4,Val\u00e8ncia,False,ca,False
jovalju,219,907,1761,Madrid,False,es,False
joar_99,866,758,19066,Betx\u00ed,False,ca,False
naxoherranz,24,494,138,,False,es,False
Ani_Gavilana,7,188,126,,False,es,False
buyinred,5,179,15,Valencia,False,es,False
PauRuizVLC,53,82,161,,False,es,False
Laveuidependie1,47,154,85,Valencia,False,es,False
juanandrei99,28,278,258,,False,es,False
Mercecarbovalle,2,19,1,,False,es,False
EcoRiba_,42,132,6,Riba-roja de T\u00faria,False,es,False
xarlie7,147,1289,311,España,False,es,False
pau4n,441,813,567,Barcelona,False,es,False
allaru11,4,558,123,,False,es,False
javieroboe,13717,6988,15471,Quart de Poblet,True,es,False
Aggalbis,471,1871,3721,España,False,es,False
AndreuEJ,193,364,328,Valencia,False,es,False
desigvector,19,111,49,,False,es,False
florenciamannsf,122,525,136,Barcelona,False,es,False
Ronnyx4,50,200,363,,False,es,False
virgilio_gomez_,32,76,559,,False,es,False
RameVidal,31,229,26,,False,es,False
AfricaRodr,28,253,8,,False,es,False
guardamascotas,3,52,17,Valencia,False,es,False
DUXWANTDHEY,64,509,2591,Valencia,False,es,False
dehtruhtorih,8,172,4,Pa\u00eds Blavenci\u00e0,False,ca,False
martamengual98,2,24,102,España,False,es,False
Annasther,152,620,526,Valencia,False,es,False
AnaM97560344,23,218,15,Valencia,False,es,False
dianajonaitis,20,100,15,Valencia,False,es,False
caresrio,55,219,393,,False,es,False
lobodemar46,38,421,859,Silla,False,es,False
Anderander68,104,435,1179,Valencia,False,es,False
Recarga_Coches,3405,1543,4589,,False,es,False
emilioglezvidal,9,66,2,,False,es,False
orujuan,14,162,160,,False,es,False
andreufive,221,474,2012,UV,False,es,False
IsaDRom,36,197,111,,False,es,False
daraza10,49,267,192,Valencia,False,es,False
pata_benimaclet,38,566,17,benimaclet,False,es,False
joanRCas,1,81,2,,False,es,False
AmbiguoPerez,152,259,2213,Valencia,False,es,False
CggCoral,49,500,32,,False,es,False
fernandez_bey,57,382,506,Valencia,False,es,False
MAJARATXI1,59,355,562,Estocolmo,False,en,False
fallera12,76,161,3317,,False,en,False
basilicadesampa,197,25,235,Plza. de la Virgen,False,es,False
nemesio_diaz,33,232,294,,False,es,False
PulsarTiles,84,437,3,Morbi,False,en,False
Vicentelopezto2,1,33,0,,False,es,False
marvg_10,242,1038,6155,Radley,False,es,False
DiegoPFonollosa,22,136,5,,False,es,False
cerscv,114,223,319,Comunidad Valenciana,False,es,False
jvicentesancho,28,596,0,,False,en,False
OnofreGasent,400,881,5253,Eivissa-Val\u00e8ncia,False,en,False
garcia_domene,83,174,125,,False,es,False
tinaguillin,7,43,1,,False,es,False
FERNANDOGABRI77,230,565,2940,Valencia-Murcia,False,es,False
papeosypateos,46,190,189,,False,es,False
Vyaches_Shev,66,259,725,Valencia,False,es,False
DolxarainaGrup,21,219,37,Benet\u00fasser,False,es,False
THEMISABOGADOSV,96,208,266,Valencia,False,es,False
D44420,10,97,27,,False,es,False
kikosuarezca,44,184,95,,False,es,False
antoniomonsalve,225,589,456,Valencia,False,en,False
sileno,56,133,23,Valencia,False,es,False
jota_ar,1,22,0,,False,es,False
FrangsBOTI,27,183,95,Valencia,False,es,False
vlcFIREBATS,2023,120,2874,Valencia,False,es,False
BronchalesJ,8,48,139,Valencia,False,en,False
madienergia,3,25,6,Valencia,False,es,False
merpargoes,181,384,1720,,False,es,False
dmproductions_,84,113,116,Valencia,False,es,False
Sonja70067024,0,23,0,,False,es,False
SuniParis,12,20,0,,False,es,False
amparoscCLM,17,146,21,,False,es,False
debrinha_,115,232,2335,Rio de Janeiro,False,en,False
Jose_E_Parra_M,333,668,7043,Valencia,False,es,False
haztelofacil,1065,3175,40878,,False,es,False
TouristInfoCast,3366,2431,5332,Pl de la hierba s/n 12001 Castell\u00f3n,False,es,False
npem1900,41,243,112,,False,es,False
DicuDC,2,39,1,Val\u00e8ncia,False,ca,False
carmen_mrtnz,23,239,62,Valencia,False,es,False
Raquel_SdUZ,142,388,11306,Unicornilandia,False,es,False
mrspockvlc,87,598,1970,Massarrojos,False,es,False
stephankappus,71,140,47,,False,es,False
T_Asesora,896,1727,971,Valencia,False,es,False
cafe_estacion,13,83,54,Madrid,False,es,False
viloga61,168,900,494,Albal,False,es,False
inmocasahome,15,71,6,,False,es,False
eypikaa93,69,1062,8,Picassent,False,en,False
61Juliofolgado,23,71,247,,False,es,False
OJ_COGITIV,8,20,17,Valencia,False,es,False
MirallValencia,140,106,270,Val\u00e8ncia,False,es,False
CJVlc,736,337,716,Ciutat de Val\u00e8ncia,False,ca,False
odysseywayspain,1,16,1,Valencia,False,es,False
rasimo21,50,32,397,Valencia,False,es,False
CoelloPradillo,25,154,69,Valencia,False,es,False
dahungryhubs,264,598,1218,Hong Kong,False,en,False
Ecologiste_,49,270,57,Valencia,False,es,False
Amparo37202044,5,150,20,,False,es,False
IceDreamVlc,2,23,6,Valencia,False,es,False
MRosa_FenollB,205,679,140,Catalonia,False,ca,False
tilesdirectory,238,1507,119,Morbi,False,en,False
FallesPatrimoni,107,387,1362,Valencia,False,es,False
palaumusicavlc,105,163,63,Valencia,False,es,False
Palomasaurus,490,993,11537,Valencia,False,es,False
LowCarbonFeed,13,3,8,Valencia,False,es,False
SHERPA_feh,45,272,49,Valencia,False,es,False
NinesLozano,38,383,1418,,False,es,False
LaPetiteClaudin,115,371,3557,,False,es,False
BORoboticsJML,53,300,28,Gerona,False,es,False
atfrdz8,23,267,0,,False,es,False
margarbo,94,1989,147,Uruguay,False,es,False
jusepe1960,230,499,22047,peninsula,False,es,False
dlloret2012,2,11,22,Valencia,False,es,False
EugeniaMontiel1,33,147,20,Comunidad Valenciana,False,es,False
Angelic19642922,2,40,38,Alicante,False,en,False
Alijim,132,361,1968,Venezuela Edo. Bolivar,False,es,False
vgoni_victor,125,549,890,,False,es,False
desdecarlos,20,241,12,,False,es,False
celesjota,631,1019,10817,39.471998,False,es,False
SOLE78260710,0,6,2,,False,es,False
AMP_81,274,1426,2332,Valencia,False,es,False
IMASO_tweets,0,84,3,,False,es,False
MiguelGolfus,60,371,77,Por Valencia,False,es,False
barcenas9090,7,167,96,,False,es,False
PabloCamano,13,28,16,,False,es,False
Sebas74142158,3,86,24,,False,es,False
emi15cab,14,113,95,,False,es,False
Acuicultura100,750,2987,373,,False,en,False
calvinmorta,114,394,1451,Valencia,False,es,False
ESdiarioCV,389,108,1112,Valencia,False,es,False
xirimita74,33,89,79,,False,en,False
roigenbauer,201,747,11882,New York / Val\u00e8ncia,False,en,False
AmeliaFraNar,25,236,221,Torrent,False,es,False
PGartziaV,39,176,134,,False,es,False
n_mentxu,86,644,892,,False,es,False
Julioagarcia61,63,121,854,,False,es,False
lluismicampos,12091,6208,9209,Quart de Poblet,False,es,False
bop_light,174,822,1226,,False,ca,False
monaswelt,10,2185,154,Europa,False,en,False
raurofer,86,735,48,,False,es,False
prades_eugenia,0,16,0,,False,es,False
FerOC91,213,1871,39,Valencia,False,es,False
Ausias14,6,50,76,Val\u00e8ncia,False,en,False
CsarPrietoR,185,800,1417,Valencia,False,es,False
MarieFr83005178,3,10,11,Comunidad Valenciana,False,en,False
eldeljaro,7,118,1,,False,es,False
entidadPTV,76,133,57,Paterna,False,es,False
MarcosMari3,0,23,0,,False,en,False
Raulescriptor,604,5000,517,,False,es,False
Francisbotell,3,45,0,,False,es,False
kaoca1984,133,287,1848,Valencia,False,es,False
carlamata84,63,182,130,Valencia,False,es,False
policeESP,19,91,168,Castell\u00f3n de la Plana,False,en,False
CIG_UV,385,444,1100,C/ Tossal,False,es,False
Sendra996,11,78,5,,False,ca,False
ximofelipe,94,308,107,Valencia,False,es,False
MpBelles,133,873,28,,False,ca,False
ilsesenluchacv,20,35,9,Valencia,False,en,False
mafe_jorge,32,222,191,Valencia,False,es,False
cmalameda,279,196,395,Valencia,False,es,False
evablasfer,19,79,5,,False,es,False
ManzanOlimpia,0,7,0,,False,es,False
mikewaterphoto,196,497,171,Valencia,False,es,False
monapart,2071,595,9336,España,False,es,False
HiguerasGorreto,5,55,1,Val\u00e8ncia,False,en,False
lismotoagent,1066,398,6316,Valencia,False,es,False
TheSerious__,142,390,23,Valencia,False,es,False
Ingenio_CsicUpv,1490,167,3873,Valencia,False,es,False
ferrerx21,2,50,0,,False,es,False
jsalmenar,13,379,16,,False,es,False
russafaveinal,52,53,17,Valencia,False,ca,False
Matts2912,103,212,574,Tercer pasillo,False,es,False
mfarches,45,158,17,Valencia,False,es,False
XimoRoca3,8,54,66,,False,es,False
NonoRegaa,160,651,694,,False,es,False
ferran_60,84,132,4022,la Vall d'Uix\u00f3,False,ca,False
gandiafitea2018,29,112,8,Gandia,False,es,False
gascarvi,28,184,13,Val\u00e9ncia,False,es,False
FxJusticia,377,288,836,Valencia,False,es,False
emi07091966,32,69,1440,Paterna,False,es,False
Gandii_7,512,1464,3091,Valencia,False,es,False
rosannasoler,11,74,9,,False,es,False
bomberspelmon,103,136,2582,Valencia,False,es,False
lineex,2090,146,526,Valencia,False,es,False
miguelbouco,133,296,2249,,False,es,False
PuesPoreso35,3,183,1,,False,es,False
JoanGrau14,4,49,0,,False,es,False
SendraPepi,19,130,120,,False,ca,False
PabloSanja22,329,573,4081,,False,es,False
juanmamartinez,623,1313,3448,Valencia,False,es,False
ausiasmarch,261,33,152,Valencia,False,es,False
richimac66,15,57,67,,False,es,False
Juan250394,0,20,1,Valencia,False,es,False
AlbertoVilla55,2,81,0,,False,es,False
Victoria_H_M,0,8,5,Valencia,False,es,False
FEBFValencia,1236,506,3264,Valencia,False,es,False
CarmenMonton,19884,4377,23289,Burjassot Valencia ,False,es,False
c_valenciana,100425,1002,23743,Valencia,True,es,False
minealicer,100,112,63,Val\u00e8ncia,False,es,False
MPSolsona,13,369,151,,False,es,False
CompromisDipVal,1555,987,3320,Diputaci\u00f3 Val\u00e8ncia,False,ca,False
MonicaCompromis,1886,1183,3430,Vila-real,False,ca,False
DaD_Horta,129,105,701,Valencia,False,ca,False
FundacionANAR,7118,1725,13380,España,False,es,False
jairosalcedoalf,117,710,166,Valencia,False,es,False
Oscar_Torres28,298,256,3,Pu\u00e7ol,False,es,False
enfermEIRizada,382,381,346,,False,es,False
Fincas17s,20,242,11,Av Jos\u00e9 Mart\u00ednez Gonz\u00e1lez,False,es,False
Genoves_JE,203,126,4380,Valencia,False,es,False
lorbelmar,3,62,0,,False,ca,False
tronsifestes,99,390,4471,,False,es,False
AMCargoGroup,567,220,536,España,False,es,False
inma_i,101,126,1187,,False,es,False
Tamara_Cervera,55,73,504,,False,es,False
davidescribano1,83,215,821,Val\u00e8ncia,False,ca,False
Annarub,59,192,683,España,False,es,False
frramosp13,584,3343,1145,Caracas ,False,es,False
GGE23820347,3,115,2,,False,es,False
enrikin58,273,771,751,,False,es,False
fundtrafic,484,737,2457,España,False,es,False
MiriamSalmeronR,28,173,4,Valencia,False,es,False
RoaNatividad,127,246,405,Catalunya,False,ca,False
BelenSospedra,4,19,22,,False,es,False
GPB77667449,0,13,22,,False,es,False
Blanca182,2,72,2,,False,es,False
_raul82,31,173,887,,False,es,False
Xinsene,29,263,1406,Valencia,False,es,False
ELCEPAS,710,1482,28507,\u041c\u043e\u0441\u043a\u0432\u0430,False,es,False
lavalencianaLVC,98,389,234,,False,en,False
gartema94,0,111,0,,False,es,False
Fuensan7,150,289,469,,False,es,False
jmiguelcomerci1,4,106,15,,False,en,False
pepone2007,5,203,0,,False,es,False
luismonsoriu,71,318,588,,False,es,False
Juanv_cosin,245,714,109,Valencia,False,es,False
PaulaBamar,226,355,746,Valencia,False,es,False
CristinaSanripo,15,153,72,Valencia,False,es,False
gemma_quer,42,424,73,Lleida,False,es,False
SalazarArq,539,495,537,Valencia,False,es,False
DannyVII_YT,1101,361,4504,Valencia,False,es,False
mariajobiosca,9,42,4,Valencia,False,es,False
FatsiniEventos,79,193,14,Amposta,False,es,False
MDIL4,47,397,1344,Valencia,False,es,False
a10pepo,105,173,595,,False,es,False
DRodrigomarin,4,8,0,,False,es,False
compromisbunyol,251,1412,171,Bu\u00f1ol,False,es,False
mccabgom,4,47,4750,,False,es,False
franbelra,60,447,8,,False,es,False
paideia1900,35,68,33,,False,es,False
smarvi,55,694,306,,False,es,False
remache11,201,517,10985,,False,es,False
veracruz3205,13,39,266,,False,es,False
Andctp,5,41,3,,False,es,False
PatriciaBayona6,9,150,29,,False,es,False
vjrai23,94,442,2853,,False,es,False
ElytraScience,133,343,84,Val\u00e8ncia,False,ca,False
JosePalaciosLop,49,209,0,Cullera,False,es,False
CandadOscar,35,137,349,Val\u00e8ncia,False,es,False
MoniicMP,243,261,2219,Valencia,False,es,False
tmp671130,4,22,0,,False,es,False
juanma_ramon,1695,948,12648,Paterna,False,es,False
1234hormiga,45,2585,7137,,False,es,False
Tot_Axerra,9,64,21,Serra,False,es,False
